"ID","Description","GeneRatio","BgRatio","pvalue","Count","geneID","p.adjust"
"hsa03010","Ribosome - Homo sapiens (human)","13/51","223/191179",2.37461620256893e-27,13,"MRPS28/RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA",3.08700106333961e-26
"hsa05171","Coronavirus disease - Homo sapiens (human)","12/51","239/191179",1.67451445086412e-24,12,"RPL10/RPL17/RPL3/RPL36/RPL37A/RPL41/RPL8/RPS20/RPS27L/RPS29/RPS8/RPSA",1.08843439306168e-23
"hsa03020","RNA polymerase - Homo sapiens (human)","5/51","34/191179",3.05362761107218e-13,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K",1.32323863146461e-12
"hsa03420","Nucleotide excision repair - Homo sapiens (human)","5/51","63/191179",7.66884764174402e-12,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K",2.49237548356680e-11
"hsa05016","Huntington disease - Homo sapiens (human)","5/51","308/191179",2.32228877657122e-08,5,"POLR2G/POLR2J/POLR2J2/POLR2J3/POLR2K",6.03795081908518e-08
"hsa03040","Spliceosome - Homo sapiens (human)","4/51","243/191179",6.07102427223432e-07,4,"HNRNPA1L2/HNRNPA3/NCBP2L/SNRNP27",1.31538859231744e-06
"hsa03015","mRNA surveillance pathway - Homo sapiens (human)","3/51","103/191179",3.10352000229268e-06,3,"DDX19A/FIP1L1/NCBP2L",5.76368000425784e-06
"hsa03013","Nucleocytoplasmic transport - Homo sapiens (human)","2/51","108/191179",0.000395895046026997,2,"DDX19A/NCBP2L",0.00064332944979387
"hsa05014","Amyotrophic lateral sclerosis - Homo sapiens (human)","2/51","368/191179",0.00442660190274772,2,"HNRNPA1L2/HNRNPA3",0.00639398052619115
"hsa05310","Asthma - Homo sapiens (human)","1/51","32/191179",0.00850198558418092,1,"RNASE3",0.0110525812594352
"hsa03018","RNA degradation - Homo sapiens (human)","1/51","78/191179",0.0205995626221497,1,"NUDT16",0.0237312447091959
"hsa04623","Cytosolic DNA-sensing pathway - Homo sapiens (human)","1/51","83/191179",0.02190576434695,1,"POLR2K",0.0237312447091959
"hsa00230","Purine metabolism - Homo sapiens (human)","1/51","128/191179",0.0335849848425284,1,"NUDT16",0.0335849848425284
